Geography,zip,Less than high school graduate,High school graduate or higher,Some college or associates degree,Bachelor degree or higher,Graduate degree or higher
860Z200US11730,11730,588,22285,3546,9814,1803
860Z200US11731,11731,975,46517,6280,28115,4992
860Z200US11732,11732,37,5986,750,3992,628
860Z200US11733,11733,364,25087,3157,18169,4748
860Z200US11735,11735,1730,50451,7001,28022,4370
860Z200US11738,11738,1729,27507,4381,11125,1619
860Z200US11739,11739,72,2166,251,1548,316
860Z200US11740,11740,686,15703,1926,10225,1925
860Z200US11741,11741,1605,41820,6490,18032,2904
860Z200US11742,11742,1032,20464,2903,8417,1474
860Z200US11743,11743,1829,61822,6699,48567,9494
860Z200US11746,11746,6192,94743,12583,61151,11449
860Z200US11747,11747,895,30243,3379,23673,4742
860Z200US11749,11749,275,5613,964,1961,359
860Z200US11751,11751,1271,21320,2863,9418,1716
860Z200US11752,11752,346,15206,2309,5574,1007
860Z200US11753,11753,530,17478,1275,15718,3265
860Z200US11754,11754,652,28607,4325,15398,2745
860Z200US11755,11755,474,17818,2485,10579,1686
860Z200US11756,11756,2410,66261,10632,28546,4981
860Z200US11757,11757,3065,71755,10935,25436,3630
860Z200US11758,11758,1589,87048,10996,49249,8419
860Z200US11762,11762,575,35697,4737,20668,3617
860Z200US11763,11763,2503,45027,7327,14661,2192
860Z200US11764,11764,508,18256,2697,10153,1986
860Z200US11765,11765,21,933,76,926,221
860Z200US11766,11766,564,16827,2317,10058,1981
860Z200US11767,11767,599,21989,3236,11829,1586
860Z200US11768,11768,356,32809,4314,24757,4660
860Z200US11769,11769,206,15777,2279,8378,1356
860Z200US11770,11770,22,165,34,54,6
860Z200US11771,11771,375,14608,1842,11288,2000
860Z200US11772,11772,3858,68727,11721,26874,4394
860Z200US11776,11776,1412,34931,5293,17195,2614
860Z200US11777,11777,378,13993,1434,10484,2728
860Z200US11778,11778,506,18590,2729,8288,1345
860Z200US11779,11779,1729,60912,9815,21560,3425
860Z200US11780,11780,602,23218,3519,15063,3008
860Z200US11782,11782,467,22721,3044,15020,2542
860Z200US11783,11783,692,33512,5054,18166,2920
860Z200US11784,11784,1442,38676,6318,13225,2038
860Z200US11786,11786,399,8819,1523,4686,1134
860Z200US11787,11787,1336,51415,7352,32521,5609
860Z200US11788,11788,948,24725,3724,15416,2516
860Z200US11789,11789,111,11521,1765,5336,915
860Z200US11790,11790,111,21795,5728,15230,3762
